Entry ID,Date,Year,State,Local Government Area,Cases,Deaths,Confirmed,Hospitalised/Treated ,CFR (%),M/F,Age,OCV Delivered,Population,"Cases/100,000","Deaths/100,000",IDP/Displacement,Socio-cultural,Food/Water,Environmental,Rural/Urban,Sanitation & Hygiene,Education,Occupation,Household/Setting,Conflict (Y),Interventions ,Aid,Reference
NGA71-3-1-1,1 Mar,1971,Kaduna,,131,3,30,,2.290,21M:9F,,,"57,296,983",0.2286,0.0052,,,,,,,,Travelling,,,,,"Hunponu-Wusu, O.O., 1973. Epidemiological aspects of an El Tor cholera outbreak in Kaduna, Nigeria. Tropical and geographical medicine, 25(3), pp.277-81."
NGA82-4-1-1,1 Apr,1982,Katsina,,662,51,12,,7.704,372F:190M,"65 cases 0-10yrs, 108 cases 11-20yrs, 110 cases 21-30yrs, 63 cases 31-40yrs, 17 cases >50yrs",Was vaccination of contacts but insufficient to vaccinate large proportions of the population. ,"77,427,546",0.8550,0.0659,,,Informal water selling ,Dry season,Urban 64% cases,,,,,,,,"Umoh, J.U., Adesiyun, A.A., Adekeye, J.O. and Nadarajah, M., 1983. Epidemiological features of an outbreak of gastroenteritis/cholera in Katsina, Northern Nigeria. Epidemiology & Infection, 91(1), pp.101-111."
NGA87-9-1-1,1 Sep,1987,,,,38,,,,,,,"88,048,032",,0.0432,,,,,,,,,,,,,https://public.emdat.be
NGA91-1-21-1,2 Jan,1991,,,588,,101,,,,,,"97,667,632",0.6020,,,,,,,,,,,,,,"Ndon, J.A., Udo, S.M. and Wehrenberg, W.B., 1992. Vibrio-associated gastroenteritis in the lower Cross-River Basin of Nigeria. Journal of clinical microbiology, 30(10), pp.2730-2732."
,,,Akwa ,Uyo,,,,,,,,,,,,,,,,,,,,,,,,"Ndon, J.A., Udo, S.M. and Wehrenberg, W.B., 1992. Vibrio-associated gastroenteritis in the lower Cross-River Basin of Nigeria. Journal of clinical microbiology, 30(10), pp.2730-2732."
,,,Cross River,Calabar,,,,,,,,,,,,,,,,,,,,,,,,"Ndon, J.A., Udo, S.M. and Wehrenberg, W.B., 1992. Vibrio-associated gastroenteritis in the lower Cross-River Basin of Nigeria. Journal of clinical microbiology, 30(10), pp.2730-2732."
NGA91-5-6-1,6 May,1991,,,"10,000","7,289",,,72.890,,,,"97,667,632",10.2388,7.4631,,,,,,,,,,,,,https://public.emdat.be
,,,Kaduna,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Bauchi,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
NGA91-12-31-1,31 Dec,1991,,,"59,478","7,654",,,12.869,,,,"97,667,632",60.8984,7.8368,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
NGA92-2-1-1,1 Feb,1992,Cross River,,,100,,,,,,,"100,161,710",,0.0998,,,,,,,,,,,,,https://public.emdat.be
NGA96-1-1-1,1 Jan,1996,Oyo,Ibadan,"1,384",92,,,6.647,720M:640F,"<4yrs 26 cases, 5-9yrs 91 cases, 10-14yrs 185 cases, Adults 857 cases",,"110,668,794",1.2506,0.0831,,,,Dry season,,,,,,,,,"Lawoyin, T.O., Ogunbodede, N.A., Olumide, E.A.A. and Onadeko, M.O., 1999. Outbreak of cholera in Ibadan, Nigeria. European journal of epidemiology, 15(4), pp.365-368."
NGA96-2-19-1,19 Feb,1996,,,"12,374","1,193",,,9.641,,,,"110,668,794",11.1811,1.0780,,,,,,,,,,,,,https://public.emdat.be
,,,Borno,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Kano,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Kebbi,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Oyo,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Niger,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Taraba,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Yobe,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
NGA96-3-1-1,1 Mar,1996,,,"1,487",99,,,6.658,,,,"110,668,794",1.3436,0.0895,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA96-3-1-2,1 Mar,1996,,,"1,000",15,,,1.500,,,,"110,668,794",0.9036,0.0136,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kano,,,,,,,,,,,,,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kwara,,,,,,,,,,,,,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Ondo,,,,,,,,,,,,,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Oyo ,,,,,,,,,,,,,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA96-3-6-1,6 Mar,1996,,,"2,662",288,,,10.819,,,,"110,668,794",2.4054,0.2602,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kano,,"1,871",107,,,5.719,,,,"110,668,794",1.6906,0.0967,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kwara,,272,77,,,28.309,,,,"110,668,794",0.2458,0.0696,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Niger,,304,97,,,31.908,,,,"110,668,794",0.2747,0.0876,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Ondo,,,,,,,,,,,,,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Oyo ,,215,7,,,3.256,,,,"110,668,794",0.1943,0.0063,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA96-3-7-1,7 Mar,1996,,,"2,836",299,,,10.543,,,,"110,668,794",2.5626,0.2702,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA96-3-15-1,15 Mar,1996,,,"6,117",487,,,7.961,,,,"110,668,794",5.5273,0.4401,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kano,,"4,388",150,,,3.418,,,,"110,668,794",3.9650,0.1355,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kaduna,,11,3,,,27.273,,,,"110,668,794",0.0099,0.0027,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kebbi,,525,122,,,23.238,,,,"110,668,794",0.4744,0.1102,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kwara,,272,72,,,26.471,,,,"110,668,794",0.2458,0.0651,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Niger,,304,97,,,31.908,,,,"110,668,794",0.2747,0.0876,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA96-3-16-1,16 Mar,1996,Kano,,"5,600",340,,,6.071,,"0-4 yrs 459 cases, 5-14 yrs 348 cases, 15-29 yrs 430 cases, >30 yrs 399 cases",,"110,668,794",5.0601,0.3072,,,Informal water selling ,,,Handwashing,,,,,,,"Hutin, Y., Luby, S. and Paquet, C., 2003. A large cholera outbreak in Kano City, Nigeria: the importance of hand washing with soap and the danger of street-vended water. Journal of water and health, 1(1), pp.45-52."
NGA99-3-24-1,24 Mar,1999,,,"1,122",89,,,7.932,,,,"199,260,063",0.5631,0.0447,,,,,,,,,,,,,https://public.emdat.be
,,,Kano,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Adamawa,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Edo,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
NGA99-5-12-1,12 May,1999,Kano,,815,28,,,3.436,,,,"199,260,063",0.4090,0.0141,,,Domestic water supply,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA99-5-12-2,12 May,1999,Tofa LGA,,182,19,,,10.440,,,,"199,260,063",0.0913,0.0095,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA99-5-12-3,12 May,1999,Adamawa ,,76,18,,,23.684,,,,"199,260,063",0.0381,0.0090,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA99-5-12-4,12 May,1999,Edo,,49,24,,,48.980,,,,"199,260,063",0.0246,0.0120,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA99-6-1-1,1 Jul,1999,Enugu,,119,25,,,21.008,,,,"199,260,063",0.0597,0.0125,,,,,,,,,,,,,https://public.emdat.be
NGA00-5-1-1,1 May,2000,Kano,,"1,215",27,,,2.222,,,,"122,283,850",0.9936,0.0221,,,,,,,,,,,,,https://public.emdat.be
NGA01-11-27-1,27 Nov,2001,,,724,52,,,7.182,,,,"125,394,046",0.5774,0.0415,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Akwa,,25,8,,,32.000,,,,"125,394,046",0.0199,0.0064,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kwara,,124,16,,,12.903,,,,"125,394,046",0.0989,0.0128,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kano,,575,28,,,4.870,,,,"125,394,046",0.4586,0.0223,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA01-11-14-1,14 Nov,2001,,,"2,170",80,,,3.687,,,,"125,394,046",1.7305,0.0638,,,,,,,,,,,,,https://public.emdat.be
,,,Kano,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Akwa,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Kwara,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Jigawa,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
NGA01-12-3-1,3 Dec,2001,Kano,,"2,050",80,,,3.902,,,,"125,394,046",1.6348,0.0638,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA01-12-3-2,3 Dec,2001,Jigawa,,120,,,,0.000,,,,"125,394,046",0.0957,,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA02-11-21-1,21 Nov,2002,Kano,,164,12,,,7.317,,,,"128,596,076",0.1275,0.0093,,,,,,,,,,,,,https://public.emdat.be
NGA04-11-15-1,15 Nov,2004,,,"1,316",76, ,,5.775,,,,"135,320,422",0.9725,0.0562,,,,,,,,,,,,,https://public.emdat.be
,,,Kano,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Jigawa,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
NGA04-11-16-1,16 Nov,2004,Edo,,300,50,,,16.667,,,,"135,320,422",0.2217,0.0369,,,,,,,,,,,,,https://public.emdat.be
NGA04-12-3-1,3 Dec,2004,,,"1,616",126,,,7.797,,,,"135,320,422",1.1942,0.0931,,,Water shortage/access,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Kano,,"1,316",76,,,5.775,,,,"135,320,422",0.9725,0.0562,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
,,,Edo,,300,50,,,16.667,,,,"135,320,422",0.2217,0.0369,,,,,,,,,,,,,https://www.who.int/csr/don/archive/disease/cholera/en/
NGA05-5-16-1,16 May,2005,Borno,Ngala,98,12,,,12.245,,,,"138,865,016",0.0706,0.0086,,,,,,,,,,,,,https://public.emdat.be
NGA08-3-1-1,1 Mar,2008,Benue,Madurdi,,35,,,,,,,"150,269,623",,0.0233,,,Poor water quality ,,,Hygiene ,,,,,,,https://public.emdat.be
,,,,Oturkpo,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
NGA08-7-16-1,16 Jul,2008,Kaduna,Zaria,30,6,,30,20.000,,,,"150,269,623",0.0200,0.0040,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA08-9-1-1,1 Sep,2008,,,,97,,,,,,,"150,269,623",,0.0646,,,Poor water quality ,,,,,,,,,,https://public.emdat.be
,,,Katsina,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Zamfara,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Bauchi,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Kano,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
NGA08-9-26-1,26 Sep,2008,Zamfara,Asako,100,18,,100,18.000,,,,"150,269,623",0.0665,0.0120,,,Contaminated wells,,,,,,,,Education campaign,,https://promedmail.org/promed-posts/
,,,,Bungudu,,,,,,,,,,,,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA09-6-1-1,1 Jun,2009,Adamawa,,,20,,,,,,,"154,324,933",,0.0130,,,,,,,,,,,,,https://public.emdat.be
NGA09-9-30-1,30 Sep,2009,Jigawa,,400,88,,,22.000,,,,"154,324,933",0.2592,0.0570,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA09-10-1-1,1 Oct,2009,Borno,Gwoza,24,4,,,16.667,,,,"154,324,933",0.0156,0.0026,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA09-10-16-1,16 Oct,2009,Borno,,1335,149,,1335,11.161,,,,"154,324,933",0.8651,0.0965,,,,,,,,,,,,,https://promedmail.org/promed-posts/
,,,Adamawa,,1000,77,,1000,7.700,,,,"154,324,933",0.6480,0.0499,,,,,,,,,,,,,https://promedmail.org/promed-posts/
,,,Jigawa,,400,11,,,2.750,,,,"154,324,933",0.2592,0.0071,,,,,,,,,,,,,https://promedmail.org/promed-posts/
,,,Taraba,,120,9,,,7.500,,,,"154,324,933",0.0778,0.0058,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA09-10-23-1,23 Oct,2009,Borno,,,70,,,,,,,"154,324,933",,0.0454,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA09-10-24-1,24 Oct,2009,Adamawa,Michika,,20,,,,,,,"154,324,933",,0.0130,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA09-11-4-1,4 Nov,2009,Adamawa,,200,20,,,10.000,,,,"154,324,933",0.1296,0.0130,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA09-11-20-1,20 Nov,2009,Borno,Taraba,,9,,,,,,,"154,324,933",,0.0058,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA10-1-1-1,1 Jan,2010,,,"44,456","1,734",,,3.900,"7,997F:6,924M","<5 3,940, 5-17 4,680, 18-44 5,015, 45-65 1,282, >65 297",,"158,503,197",28.0474,1.0940,Displacement ,,,Heavy rainfall,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
,,,Adamawa,,"2,004",123,,,6.138,,,,"158,503,197",1.2643,0.0776,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
