temp_level,humidity,precipitation,frequency_outbreak_in_area,travel_patterns,mosquito_species,malaria_vectors,vectors_infection_rates,healthcare_availability,healthcare_accessibility,malaria_treatment_success_rates,land_use,mosquito_breeding_sites,stagnant_waters,iot_air_quality,iot_water_quality,presence_of_vegetation,outbreak_threshold
0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0.487874636
1,0,0,1,1,3,0,1,1,1,1,1,1,1,0,0,1,0.019256525
1,1,1,0,1,2,0,0,1,1,1,1,1,1,0,1,0,0.978092225
1,0,1,0,0,3,1,0,0,1,0,0,1,1,1,1,1,0.858584151
0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0.344198536
1,1,1,0,0,3,0,1,0,1,1,0,1,0,0,0,0,0.392651819
0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0.947604293
1,1,1,1,0,3,0,0,0,1,1,1,0,1,1,0,0,0.610807845
0,1,0,1,1,2,1,1,1,1,1,0,1,1,1,0,1,0.85631334
0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0.03972616
0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,1,1,0.846173259
0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0.977780417
0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0.971345722
1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0.938339367
0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0.856183837
0,0,1,1,0,3,0,1,1,0,1,1,1,1,1,0,1,0.373805646
0,1,0,0,1,2,0,1,1,0,0,1,0,1,0,0,0,0.841602401
0,1,0,1,1,3,1,1,0,0,1,0,1,0,1,0,1,0.384455229
0,0,0,1,1,3,0,1,1,1,1,1,1,0,1,0,0,0.758645099
1,0,0,1,0,2,0,1,0,0,0,1,1,0,1,1,0,0.881478056
0,1,0,1,1,3,1,1,1,0,0,1,1,0,0,0,0,0.612644572
1,0,0,0,0,2,1,0,0,0,0,1,1,1,0,1,0,0.182636014
1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0.233453435
1,0,0,0,1,2,1,1,1,0,1,1,0,1,1,1,0,0.591920315
1,0,0,1,0,3,1,0,1,0,1,0,0,0,1,1,0,0.341174233
0,1,0,1,1,2,0,0,0,0,1,0,1,1,0,1,0,0.206635094
0,0,1,0,0,3,0,0,1,0,1,0,1,1,1,1,1,0.309775398
1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0.644945901
0,1,0,1,0,2,1,1,1,0,0,0,1,1,1,0,0,0.196227356
0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0.56299128
0,0,1,1,0,2,0,0,1,1,1,1,0,0,1,0,0,0.133944327
1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0.603071593
0,0,0,1,0,3,1,0,0,1,1,0,0,1,1,1,1,0.164908845
1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0.602072136
0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0.699665199
1,0,0,0,1,2,1,1,1,0,0,0,0,0,1,1,0,0.308874707
0,0,1,0,1,2,0,1,1,1,0,1,0,0,0,0,1,0.993967635
1,1,0,0,1,3,0,0,0,1,0,1,0,0,1,0,1,0.280011879
0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0.240609915
1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0.206495427
1,1,1,0,1,2,1,1,1,1,1,1,0,1,1,1,1,0.232843186
0,1,0,1,0,3,1,1,0,1,0,1,1,1,1,0,0,0.100401891
0,0,1,0,0,3,1,0,1,1,0,1,0,1,1,1,0,0.237451342
0,1,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0.444814676
1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0.170496525
0,1,1,0,0,2,0,1,0,0,1,1,0,0,1,0,1,0.076668274
0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0.789087613
0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0.796641537
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.667926427
0,0,1,0,0,3,0,1,1,0,0,1,0,0,0,0,1,0.073452235
1,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,1,0.599496744
0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0.659217425
0,0,0,1,0,2,0,1,1,1,0,1,1,1,0,0,0,0.344320369
1,0,0,0,0,3,0,0,0,1,1,1,1,0,0,1,1,0.822825447
0,1,0,1,1,3,1,0,1,0,1,1,1,0,0,0,1,0.332912672
0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0.855624836
0,0,1,0,1,3,0,0,0,0,1,1,1,0,1,1,1,0.966235176
1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0.315890274
0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0.423926177
1,1,0,0,0,3,1,1,0,1,0,1,0,1,1,0,1,0.762088963
0,1,0,1,1,3,1,0,1,1,0,1,0,0,1,0,0,0.471191707
1,0,0,1,0,3,0,0,0,1,1,1,1,1,1,1,0,0.504336317
1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0.240796205
0,1,1,0,0,3,1,1,1,0,0,0,1,0,0,0,1,0.164532107
1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0.906729656
0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0.028758425
0,1,1,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0.242073783
1,1,0,1,1,2,0,0,1,1,1,1,1,0,0,1,0,0.739992891
0,1,1,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0.976034766
0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,1,0.842785029
1,1,0,1,1,2,1,1,1,1,0,1,1,0,0,1,1,0.098759757
1,1,1,1,1,3,1,1,0,1,0,0,1,1,0,0,0,0.231796656
1,1,1,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0.033750304
0,1,1,0,1,2,0,0,0,0,1,1,1,0,0,1,0,0.493945638
0,1,1,0,0,3,0,1,1,0,1,0,1,0,0,1,0,0.881790834
1,0,1,0,0,3,1,0,1,1,1,1,0,1,0,0,1,0.785810571
1,1,0,1,1,3,0,0,1,0,1,1,1,0,1,1,0,0.435071577
1,0,1,0,0,2,1,0,1,1,0,0,1,1,1,1,0,0.186165498
0,0,1,0,0,2,1,1,1,0,1,0,0,1,1,0,1,0.993482311
0,0,1,1,0,2,1,1,0,0,1,1,0,1,0,0,0,0.925771825
1,0,1,1,1,3,0,1,0,1,1,0,1,0,1,0,0,0.989600556
0,1,0,1,0,3,0,1,1,1,0,0,1,0,1,0,0,0.408215655
1,0,0,1,1,2,0,0,1,0,1,0,1,1,0,0,1,0.762566175
1,0,0,1,0,3,1,1,0,0,1,1,1,1,0,1,1,0.463274373
0,0,0,1,1,3,1,1,0,1,1,1,1,1,0,1,0,0.128729915
1,0,0,0,0,2,1,1,0,0,0,1,1,0,0,1,1,0.069080329
0,1,0,0,1,3,0,0,1,0,0,0,1,1,0,1,0,0.843723107
0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0.867452314
1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0.563878743
1,0,0,1,0,2,1,1,1,0,0,1,0,1,1,1,0,0.855428873
0,1,0,0,0,3,1,1,1,0,0,1,0,1,1,0,1,0.89106645
1,0,0,1,1,2,1,1,1,0,1,1,1,0,0,0,1,0.880805189
0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,1,1,0.341928563
0,1,0,0,1,3,0,0,0,1,1,1,0,0,1,0,0,0.163288666
1,0,1,1,1,3,1,0,0,1,0,1,0,1,1,0,1,0.898881005
1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0.948756715
0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0.510929489
0,1,1,0,1,2,0,0,1,1,1,0,1,0,0,1,0,0.799513393
0,1,0,1,0,3,1,0,0,1,1,0,1,1,1,0,0,0.968663458
1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0.74989249
0,0,0,1,1,3,0,0,1,0,0,0,1,0,1,0,1,0.119533138
1,1,1,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0.016586905
0,1,0,0,1,2,1,1,1,0,1,1,0,0,0,0,0,0.817877195
0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0.951766518
0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0.479103757
0,1,0,0,1,2,0,0,1,0,0,1,0,1,0,1,1,0.422955484
1,0,1,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0.251223369
0,0,0,1,0,2,1,1,0,0,1,1,1,0,0,0,1,0.458113188
1,0,1,1,0,2,0,0,1,0,1,1,0,0,1,1,1,0.316060726
0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0.689529007
1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0.23253244
0,1,1,1,1,2,0,0,0,1,1,1,1,0,1,1,0,0.495148567
0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0.87120491
0,0,0,1,1,3,0,1,0,0,0,0,1,0,1,1,1,0.231263533
0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0.441771865
0,1,0,1,1,2,1,1,0,0,1,1,0,1,1,1,0,0.78899095
0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0.732551142
0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0.522382318
1,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,1,0.385467401
1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0.486357125
1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0.889904386
1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0.06995356
0,0,1,1,0,2,1,1,1,0,1,1,1,0,0,0,0,0.687052375
1,0,0,0,1,3,1,0,0,1,1,1,0,1,0,0,1,0.903975858
0,0,1,1,0,3,0,1,0,0,1,0,0,1,1,1,1,0.463549005
0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0.688274815
1,1,1,1,1,2,1,1,0,0,1,0,1,1,0,0,0,0.860898045
0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0.72351475
0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0.80397191
1,0,1,1,0,3,0,0,0,0,1,0,0,0,1,1,1,0.390191274
1,0,0,0,0,3,1,0,1,1,1,1,1,0,1,0,1,0.384432215
0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0.576901657
0,1,1,1,0,3,0,1,0,1,0,1,0,1,1,0,1,0.975375332
0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0.670005163
1,1,1,0,1,3,1,0,0,0,1,1,0,0,1,0,1,0.12510867
1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0.558388081
1,1,1,1,1,2,1,0,0,1,0,0,0,1,1,1,1,0.905342142
0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0.422160434
1,0,0,0,1,2,0,1,1,0,0,1,1,1,1,1,0,0.443247515
0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0.650402619
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0.987004358
0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0.663018833
0,1,1,1,0,3,0,1,0,0,0,1,0,1,0,0,0,0.778021344
1,0,0,1,1,2,0,0,0,1,0,1,1,0,1,1,1,0.362225053
0,1,0,1,0,2,0,1,1,1,0,0,1,1,0,1,0,0.785605101
1,1,1,0,1,2,1,1,1,1,1,0,1,1,1,1,1,0.139339676
