Field,Label,Value
id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
title,Title of Dataset,Nigeria - Subnational Demographic and Health Data
name,Dataset URL,dhs-subnational-data-for-nigeria
notes,Description,"Contains data from the DHS data portal. There is also a dataset containing Nigeria - National Demographic and Health Data on HDX. The DHS Program Application Programming Interface (API) provides software developers access to aggregated indicator data from The Demographic and Health Surveys (DHS) Program. The API can be used to create various applications to help analyze, visualize, explore and disseminate data on population, health, HIV, and nutrition from more than 90 countries."
dataset_source,Source,The DHS Program
organization,Contributor,The DHS Program
dataset_date,Reference Period,[1990-01-01T00:00:00 TO 2021-12-31T23:59:59]
last_modified,Updated,2025-09-18T06:04:57.239911
data_update_frequency,Expected Update Frequency,Every year
groups,Location,Nigeria
license_title,License,Other
methodology,Methodology,Sample Survey
methodology_other,Define Methodology,
caveats,Caveats/Comments,
tags,Tags,"demographics, health, hxl"
resource_1_created,Created,2020-01-27T19:36:13.493916
resource_1_description,Description,HXLated csv containing DHS Quickstats data
resource_1_format,File Format,CSV
resource_1_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/e9862feb-121a-4800-a9c1-80ee42a65bfa/download/dhs-quickstats_subnational_nga.csv
resource_1_id,Resource ID,e9862feb-121a-4800-a9c1-80ee42a65bfa
resource_1_last_modified,Updated,2025-09-18T06:04:41.348398
resource_1_metadata_modified,Metadata Updated,2025-09-18T06:08:58.328538
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,DHS Quickstats Data for Nigeria
resource_1_mimetype,MIME Type,text/csv
resource_1_size,Size,629.2K
resource_2_created,Created,2020-01-27T19:36:13.493930
resource_2_description,Description,HXLated csv containing DHS Mobile data
resource_2_format,File Format,CSV
resource_2_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/282b4d45-0a0d-4dfb-92fa-73c75550bee4/download/dhs-mobile_subnational_nga.csv
resource_2_id,Resource ID,282b4d45-0a0d-4dfb-92fa-73c75550bee4
resource_2_last_modified,Updated,2025-09-18T06:04:41.753258
resource_2_metadata_modified,Metadata Updated,2025-09-18T06:09:23.013943
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,DHS Mobile Data for Nigeria
resource_2_mimetype,MIME Type,text/csv
resource_2_size,Size,2.1M
resource_3_created,Created,2020-01-27T19:36:13.493936
resource_3_description,Description,HXLated csv containing SDGs data
resource_3_format,File Format,CSV
resource_3_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/c1096303-7fa3-481f-95bb-6e76facc4aef/download/sdgs_subnational_nga.csv
resource_3_id,Resource ID,c1096303-7fa3-481f-95bb-6e76facc4aef
resource_3_last_modified,Updated,2025-09-18T06:04:42.467665
resource_3_metadata_modified,Metadata Updated,2025-09-18T06:09:03.486356
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_3_resource_type,Resource Type,file.upload
resource_3_name,Resource Name,SDGs Data for Nigeria
resource_3_mimetype,MIME Type,text/csv
resource_3_size,Size,800.2K
resource_4_created,Created,2020-01-27T19:36:13.493940
resource_4_description,Description,HXLated csv containing MDGs data
resource_4_format,File Format,CSV
resource_4_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/00db5b6d-5829-4216-9106-431cbf740108/download/mdgs_subnational_nga.csv
resource_4_id,Resource ID,00db5b6d-5829-4216-9106-431cbf740108
resource_4_last_modified,Updated,2025-09-18T06:04:42.880727
resource_4_metadata_modified,Metadata Updated,2025-09-18T06:09:01.941054
resource_4_microdata,Microdata,False
resource_4_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_4_resource_type,Resource Type,file.upload
resource_4_name,Resource Name,MDGs Data for Nigeria
resource_4_mimetype,MIME Type,text/csv
resource_4_size,Size,790.3K
resource_5_created,Created,2020-01-27T19:36:13.493944
resource_5_description,Description,HXLated csv containing PMI/RBM data
resource_5_format,File Format,CSV
resource_5_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/59beab9c-e11d-4bbe-b435-05ac7f82721e/download/rbm_subnational_nga.csv
resource_5_id,Resource ID,59beab9c-e11d-4bbe-b435-05ac7f82721e
resource_5_last_modified,Updated,2025-09-18T06:04:43.267100
resource_5_metadata_modified,Metadata Updated,2025-09-18T06:09:07.374651
resource_5_microdata,Microdata,False
resource_5_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_5_resource_type,Resource Type,file.upload
resource_5_name,Resource Name,PMI/RBM Data for Nigeria
resource_5_mimetype,MIME Type,text/csv
resource_5_size,Size,596.8K
resource_6_created,Created,2020-01-27T19:36:13.493949
resource_6_description,Description,HXLated csv containing IYCF data
resource_6_format,File Format,CSV
resource_6_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/88821591-38dd-4997-9de4-f2bc8fcaf65a/download/iycf_subnational_nga.csv
resource_6_id,Resource ID,88821591-38dd-4997-9de4-f2bc8fcaf65a
resource_6_last_modified,Updated,2025-09-18T06:04:43.953080
resource_6_metadata_modified,Metadata Updated,2025-09-18T06:09:05.659240
resource_6_microdata,Microdata,False
resource_6_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_6_resource_type,Resource Type,file.upload
resource_6_name,Resource Name,IYCF Data for Nigeria
resource_6_mimetype,MIME Type,text/csv
resource_6_size,Size,171.9K
resource_7_created,Created,2020-01-27T19:36:13.493953
resource_7_description,Description,HXLated csv containing MICS indicators data
