Field,Label,Value
id,Dataset ID,3b4a119a-309c-4d3f-900f-18a1f6ca2dfa
title,Title of Dataset,Nigeria: Health facilities
name,Dataset URL,nigeria-health-facilities
notes,Description,"Nigeria Health facilities. These are Primary, Secondary and Tertiary entities that provide medical and/or healthcare services and/or engage in the use generally of natural and/or artificial materials to create or dispense drugs. "
dataset_source,Source,e-health Africa
organization,Contributor,HDX
dataset_date,Reference Period,[2020-10-06T00:00:00 TO 2020-10-06T23:59:59]
last_modified,Updated,2021-06-22T06:48:43.591902
data_update_frequency,Expected Update Frequency,As needed
groups,Location,Nigeria
license_title,License,Creative Commons Attribution International (CC BY)
methodology,Methodology,Registry
methodology_other,Define Methodology,
caveats,Caveats/Comments,Dataset extracted from https://africaopendata.org/dataset/nigeria-health-care-facilities-primary-secondary-and-tertiary
tags,Tags,"facilities-infrastructure, geodata, health, health facilities"
resource_1_created,Created,2021-06-22T06:48:28.827592
resource_1_description,Description,
resource_1_format,File Format,JSON
resource_1_download_url,Download URL,https://data.humdata.org/dataset/3b4a119a-309c-4d3f-900f-18a1f6ca2dfa/resource/5a3bdd13-3ada-4bf4-ac38-643390bc0562/download/nigeriahealthfacilities.json
resource_1_id,Resource ID,5a3bdd13-3ada-4bf4-ac38-643390bc0562
resource_1_last_modified,Updated,2021-06-22T06:48:28.659856
resource_1_metadata_modified,Metadata Updated,2025-04-10T14:49:12.902875
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,3b4a119a-309c-4d3f-900f-18a1f6ca2dfa
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,NigeriaHealthFacilities.json
resource_1_mimetype,MIME Type,application/json
resource_1_size,Size,24.2M
resource_2_created,Created,2021-06-22T06:48:33.003961
resource_2_description,Description,
resource_2_format,File Format,SHP
resource_2_download_url,Download URL,https://data.humdata.org/dataset/3b4a119a-309c-4d3f-900f-18a1f6ca2dfa/resource/d24b1aa9-116d-49f0-9eb2-ee82e9903d64/download/nigeriahealthfacilities.zip
resource_2_id,Resource ID,d24b1aa9-116d-49f0-9eb2-ee82e9903d64
resource_2_last_modified,Updated,2021-06-22T06:48:32.812070
resource_2_metadata_modified,Metadata Updated,2025-04-10T14:49:14.094186
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,3b4a119a-309c-4d3f-900f-18a1f6ca2dfa
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,NigeriaHealthFacilities.zip
resource_2_mimetype,MIME Type,application/x-zip-compressed
resource_2_size,Size,3.1M
resource_3_created,Created,2021-06-22T06:48:43.848021
resource_3_description,Description,
resource_3_format,File Format,CSV
resource_3_download_url,Download URL,https://data.humdata.org/dataset/3b4a119a-309c-4d3f-900f-18a1f6ca2dfa/resource/4658aa59-0554-4fac-8473-377da4b7a0e9/download/nigeriahealthfacilities.csv
resource_3_id,Resource ID,4658aa59-0554-4fac-8473-377da4b7a0e9
resource_3_last_modified,Updated,2021-06-22T06:48:43.591902
resource_3_metadata_modified,Metadata Updated,2025-04-10T14:49:18.006763
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,3b4a119a-309c-4d3f-900f-18a1f6ca2dfa
resource_3_resource_type,Resource Type,file.upload
resource_3_name,Resource Name,NigeriaHealthFacilities.csv
resource_3_mimetype,MIME Type,application/vnd.ms-excel
resource_3_size,Size,9.5M
