disease,state,year,week,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,who_country_cases,population,urban_percent,cases_last_week,deaths_last_week,cases_per_100k,rainfall_change,temp_anomaly,week_sin,week_cos,year
Covid-19,Abia,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,2.0,0.0,0.0009345961178624,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Abuja,2025,49,25.0,5.0,70.0,0.0,213996181.0,51.958,133.0,3.0,0.0,0.0,0.0,-0.4647231720437684,0.88545602565321,2025
Covid-19,Adamawa,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,0.0,0.0,0.0004672980589312,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Akwa Ibom,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,11.0,1.0,0.0051402786482437,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Anambra,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,1.0,0.0,0.0004672980589312,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Bauchi,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,6.0,0.0,0.0037383844714499,0.0,0.0,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Bayelsa,2025,45,25.0,5.0,70.0,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.8229838658936566,0.5680647467311556,2025
Covid-19,Benue,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,1.0,0.0,0.0004672980589312,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Borno,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,30.0,2.0,0.0056075767071749,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Cross River,2025,45,25.0,5.0,70.0,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.8229838658936566,0.5680647467311556,2025
Covid-19,Delta,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,0.0,0.0,0.0028037883535874,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Ebonyi,2025,45,25.0,5.0,70.0,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.8229838658936566,0.5680647467311556,2025
Covid-19,Edo,2025,49,25.0,5.0,70.0,0.0,213996181.0,51.958,17.0,2.0,0.0,0.0,0.0,-0.4647231720437684,0.88545602565321,2025
Covid-19,Ekiti,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,2.0,0.0,0.0018691922357249,0.0,0.0,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Enugu,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,0.0,0.0,0.0009345961178624,0.0,0.0,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Gombe,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,30.0,0.0,0.0042056825303812,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Imo,2020,2,25.0,5.0,70.0,0.0,213996181.0,51.958,0.0,0.0,0.0004672980589312,0.0,0.0,0.12053668025532306,0.992708874098054,2020
Covid-19,Jigawa,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,0.0,0.0,0.0009345961178624,0.0,0.0,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Kaduna,2025,47,25.0,5.0,70.0,0.0,213996181.0,51.958,5.0,0.0,0.0042056825303812,0.0,0.0,-0.6631226582407955,0.7485107481711007,2025
Covid-19,Kano,2025,49,25.0,5.0,70.0,0.0,213996181.0,51.958,73.0,1.0,0.0,0.0,0.0,-0.4647231720437684,0.88545602565321,2025
