year,week,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,state
2018,1,21.985714285714288,19.714285714285715,0.0,Zamfara
2018,2,22.414285714285715,19.285714285714285,0.0,Zamfara
2018,3,23.285714285714285,14.714285714285714,0.0,Zamfara
2018,4,22.885714285714283,18.0,0.0,Zamfara
2018,5,24.599999999999998,13.857142857142858,0.0,Zamfara
2018,6,28.114285714285717,13.0,0.0,Zamfara
2018,7,27.62857142857143,13.285714285714286,0.0,Zamfara
2018,8,30.085714285714285,33.0,0.5,Zamfara
2018,9,30.97142857142857,16.428571428571427,0.0,Zamfara
2018,10,31.057142857142857,14.714285714285714,0.0,Zamfara
2018,11,30.62857142857143,9.857142857142858,0.0,Zamfara
2018,12,30.957142857142856,20.0,0.4,Zamfara
2018,13,31.37142857142857,8.714285714285714,0.0,Zamfara
2018,14,31.74285714285714,11.714285714285714,0.0,Zamfara
2018,15,31.814285714285713,32.142857142857146,0.1,Zamfara
2018,16,32.51428571428571,27.857142857142858,0.0,Zamfara
2018,17,32.542857142857144,39.714285714285715,3.4,Zamfara
2018,18,32.77142857142857,44.714285714285715,0.4,Zamfara
2018,19,31.414285714285715,49.0,8.3,Zamfara
2018,20,30.900000000000002,52.285714285714285,6.4,Zamfara
2018,21,31.457142857142856,51.285714285714285,7.300000000000001,Zamfara
2018,22,29.985714285714288,59.142857142857146,10.0,Zamfara
2018,23,29.885714285714283,63.142857142857146,8.299999999999999,Zamfara
2018,24,29.47142857142857,63.0,42.4,Zamfara
2018,25,25.985714285714288,76.57142857142857,23.5,Zamfara
2018,26,26.542857142857144,77.42857142857143,19.0,Zamfara
2018,27,25.785714285714285,80.85714285714286,37.5,Zamfara
2018,28,26.271428571428572,78.71428571428571,9.6,Zamfara
2018,29,25.642857142857142,80.0,17.0,Zamfara
2018,30,26.0,79.28571428571429,12.2,Zamfara
2018,31,24.914285714285715,82.42857142857143,37.099999999999994,Zamfara
2018,32,24.585714285714285,85.42857142857143,65.0,Zamfara
2018,33,24.857142857142858,84.85714285714286,39.4,Zamfara
2018,34,24.442857142857143,85.85714285714286,55.800000000000004,Zamfara
2018,35,24.457142857142856,86.28571428571429,43.8,Zamfara
2018,36,24.599999999999998,84.71428571428571,35.1,Zamfara
2018,37,25.457142857142856,82.42857142857143,15.899999999999999,Zamfara
2018,38,26.5,80.57142857142857,11.6,Zamfara
2018,39,26.457142857142856,80.0,8.3,Zamfara
