state,disease,year,week,cases,source_pdf,table_idx
"● Develop A Tor For The Steering Committee: A 1-Day Meeting For 40 People In Abuja. Representatives Will Be From Mdas, Regulatory Bodies, The Private Sector, Academia From Human, Animal, Environmental Health And Food Safety Institutions And Partners (This Includes Cost For Travels/Per Diem/Food/Accommodation/Venue For Invited Stakeholders, Stationeries, Writing Materials Etc.)",Cost (N) 2018-2019,,,5270000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,95
● Advocacy Visit To The Deputy Speaker House Committee On Health (6 Persons Will Take 1-Day Visit To The Senate; 2 Would Be From Outside Abuja),Cost (N) 2018-2019,,,865000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,95
"● Workshop With 60 Stakeholders Discuss Next Steps After Amr Case Study Report, Review The Tor For The Amr Technical Working Group Via A 2-Day Workshop Held In Lagos And Review The Nap To Develop Operational Plan For Activities To Be Implemented In 2018 (This Includes Cost For Travels/Per Diem/Food/Accommodation/Venue For Invited Stakeholders, Stationeries, Writing Materials Etc.)",Cost (N) 2018-2019,,,9374000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,95
"● Collaborate With Fmard To Establish A Voluntary Certification Program On Rational Use Of Antibiotics In The Agriculture Sector By Convening Annual Meetings With Fmard On Framework For The Program And Regular Updates On Progress Made (Two Meetings Of 30 People From Fmoh, Ncdc And Fmard Will Be Held In Abuja)",Cost (N) 2018-2019,,,4794000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,95
"● Develop A Tor For The Steering Committee: A 1-Day Meeting For 40 People In Abuja. Representatives Will Be From Mdas, Regulatory Bodies, The Private Sector, Academia From Human, Animal, Environmental Health And Food Safety Institutions And Partners (This Includes Cost For Travels/Per Diem/Food/Accommodation/Venue For Invited Stakeholders, Stationeries, Writing Materials Etc.)",Cost (N) 2018-2022,,,5270000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,95
● Advocacy Visit To The Deputy Speaker House Committee On Health (6 Persons Will Take 1-Day Visit To The Senate; 2 Would Be From Outside Abuja),Cost (N) 2018-2022,,,1730000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,95
"● Workshop With 60 Stakeholders Discuss Next Steps After Amr Case Study Report, Review The Tor For The Amr Technical Working Group Via A 2-Day Workshop Held In Lagos And Review The Nap To Develop Operational Plan For Activities To Be Implemented In 2018 (This Includes Cost For Travels/Per Diem/Food/Accommodation/Venue For Invited Stakeholders, Stationeries, Writing Materials Etc.)",Cost (N) 2018-2022,,,9374000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,95
"● Collaborate With Fmard To Establish A Voluntary Certification Program On Rational Use Of Antibiotics In The Agriculture Sector By Convening Annual Meetings With Fmard On Framework For The Program And Regular Updates On Progress Made (Two Meetings Of 30 People From Fmoh, Ncdc And Fmard Will Be Held In Abuja)",Cost (N) 2018-2022,,,19176000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,95
● Conduct A 5-Day Meeting To Develop Guidelines For The Biosafety/Ipc Program For Veterinary Clinics/Hospitals And Vet Laboratories X 15 People In Abuja,"24,513,000",,,3035000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,100
● A 2-Days Validation Workshop For 40 People In Abuja (15 Persons From Outside Abuja),"24,513,000",,,5160000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,100
"● Develop Guidelines And Iec Materials To Ensure Proper Waste Disposal And Management And Guideline For Wholesome And Hygienic, Fish, Meat, Dairy & Dairy Products, Terrestrial & Aquatic Animal Transporters, Handlers And Feed/Feed Milling. A) Conduct A 5-Day Workshop To Develop Guidelines For Wholesome And Hygienic, Fish, Meat, Dairy & Dairy Products, Terrestrial & Aquatic Animal Transporters, Handlers And Feed / Feed Milling X 10 People In Abuja","24,513,000",,,4310000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,100
● Conduct A 5-Day Meeting To Develop Guidelines For The Biosafety/Ipc Program For Veterinary Clinics/Hospitals And Vet Laboratories X 15 People In Abuja,"49,026,000",,,3035000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,100
● A 2-Days Validation Workshop For 40 People In Abuja (15 Persons From Outside Abuja),"49,026,000",,,5160000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,100
"● Develop Guidelines And Iec Materials To Ensure Proper Waste Disposal And Management And Guideline For Wholesome And Hygienic, Fish, Meat, Dairy & Dairy Products, Terrestrial & Aquatic Animal Transporters, Handlers And Feed/Feed Milling. A) Conduct A 5-Day Workshop To Develop Guidelines For Wholesome And Hygienic, Fish, Meat, Dairy & Dairy Products, Terrestrial & Aquatic Animal Transporters, Handlers And Feed / Feed Milling X 10 People In Abuja","49,026,000",,,4310000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,100
● Consultant To Map Existing Certified International Couriers For Infectious Substances And The Appropriate Regional Reference Laboratories For Confirmation By Pathogen; Develop A Transportation Plan For International Shipments From 2 Hubs (Abuja And Lagos),"47,520,000",,,600000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,115
● Consultant To Map Existing Certified International Couriers For Infectious Substances And The Appropriate Regional Reference Laboratories For Confirmation By Pathogen; Develop A Transportation Plan For International Shipments From 2 Hubs (Abuja And Lagos),col_2,,,600000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,115
Obtain Accreditation For National Reference Lab - Abuja,Cost (N) 2018-2019,,,4800000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,119
Obtain Accreditation For National Reference Lab - Abuja,Cost (N) 2018-2022,,,4800000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,119
"● Infrastructural Upgrade At The National Reference Lab, Abuja",col_1,,,20000000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,120
"● Lab Furniture For Nrl, Abuja (Micro, Virology, Pcr Suite, Chemistry",col_1,,,9000000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,120
"● Lab Furniture For Cphl, Lagos (Micro. Virology, Heam, Chemistry)",col_1,,,9000000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,120
"● Infrastructural Upgrade At The National Reference Lab, Abuja",col_2,,,50000000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,120
"● Lab Furniture For Nrl, Abuja (Micro, Virology, Pcr Suite, Chemistry",col_2,,,9000000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,120
"● Lab Furniture For Cphl, Lagos (Micro. Virology, Heam, Chemistry)",col_2,,,9000000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,120
"Six Members Team To Identify Intersectoral And Interdependence Stakeholders, Outlined Potential Contribution, • Roles And Responsibilities Of The Different Stakeholders To Constitute An All-Hazard Twg ( A Day Meeting In Abuja)",Cost (N) 2018-2019,,,19200.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
Inaugurate Twg At The National To Plan For The Development Of All Hazard Multi-Sectoral Public Health Emergency • Preparedness And Response Plan. Present Detailed Potential Contribution Of Different Stakeholder. A Day Meeting In Abuja (30 Persons Selected Across Interdependent Stakeholders),Cost (N) 2018-2019,,,201000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
"3-Day L Advocacy At The National Level To Heads Of Mdas In Abuja For The Development Of The All-Hazard Multi-• Sectoral Phepp ( Fmard, Fmoh, Fmoev, Nema And Other Relevant Stakeholders) ( Max Of 7Persons For 3-Day)",Cost (N) 2018-2019,,,294000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
5-Day Training And Simulation On Multiple (Two Hazard) Hazard In Lagos For Health Worker At The National Level (80 • Participants).,Cost (N) 2018-2019,,,24296400.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
"1-Day Meeting Of Pheprp Twg In Abuja To Develop A Memo To National Council On Health To Address • Coordination, Collaboration And Support Among Relevant Stakeholders. (25 Participants).",Cost (N) 2018-2019,,,771000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
1-Day Meeting In Abuja To Review And Adapt The Mou For Signing (30 Participants) •,Cost (N) 2018-2019,,,682000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
A Day Meeting In Abuja For Signing Of Mou By Head Of Mdas. •,Cost (N) 2018-2019,,,100000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
"Six Members Team To Identify Intersectoral And Interdependence Stakeholders, Outlined Potential Contribution, • Roles And Responsibilities Of The Different Stakeholders To Constitute An All-Hazard Twg ( A Day Meeting In Abuja)",Cost (N) 2018-2022,,,19200.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
Inaugurate Twg At The National To Plan For The Development Of All Hazard Multi-Sectoral Public Health Emergency • Preparedness And Response Plan. Present Detailed Potential Contribution Of Different Stakeholder. A Day Meeting In Abuja (30 Persons Selected Across Interdependent Stakeholders),Cost (N) 2018-2022,,,201000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
"3-Day L Advocacy At The National Level To Heads Of Mdas In Abuja For The Development Of The All-Hazard Multi-• Sectoral Phepp ( Fmard, Fmoh, Fmoev, Nema And Other Relevant Stakeholders) ( Max Of 7Persons For 3-Day)",Cost (N) 2018-2022,,,294000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
5-Day Training And Simulation On Multiple (Two Hazard) Hazard In Lagos For Health Worker At The National Level (80 • Participants).,Cost (N) 2018-2022,,,24296400.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
"1-Day Meeting Of Pheprp Twg In Abuja To Develop A Memo To National Council On Health To Address • Coordination, Collaboration And Support Among Relevant Stakeholders. (25 Participants).",Cost (N) 2018-2022,,,771000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
1-Day Meeting In Abuja To Review And Adapt The Mou For Signing (30 Participants) •,Cost (N) 2018-2022,,,682000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
A Day Meeting In Abuja For Signing Of Mou By Head Of Mdas. •,Cost (N) 2018-2022,,,100000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,138
"● 5-Day National Workshop On Profiling Risk, Vulnerability Risk Assessment And Resources Mapping Using Star And Vram Tools In Lagos. (45 Participants)",Cost (N) 2018-2019,,,0.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,139
"● 5-Day National Workshop On Profiling Risk, Vulnerability Risk Assessment And Resources Mapping Using Star And Vram Tools In Lagos. (45 Participants)",Cost (N) 2018-2022,,,0.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,139
"● Identify, Constitute Quantification And Forecasting Team For Response Materials, Laboratory Reagents, Consumables And All Health Commodities For All The Priority Diseases And Events. 15 Participants , A Day Meeting In Abuja)","6,124,800",,,122000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,140
● 5-Day Stakeholders Meeting In Lagos To Review The Draft And Buy-In Of The Stakeholders.(35 Participants),"6,124,800",,,11097000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,140
"● Identify And Constitute Quantification And Forecasting Team For Response Materials, Laboratory Reagents, Consumables And All Health Commodities For All The Priority Diseases And Events. ( A Day Meeting In Abuja)","6,124,800",,,1608000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,140
● Four Days Forecasting And Supply Planning Meeting For Priority Diseases And Public Health Events In Abuja.( 30 Participants),"6,124,800",,,4294000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,140
"● Identify, Constitute Quantification And Forecasting Team For Response Materials, Laboratory Reagents, Consumables And All Health Commodities For All The Priority Diseases And Events. 15 Participants , A Day Meeting In Abuja)","6,124,800_1",,,122000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,140
