year,week,population
2024,1,232679478.0
2024,2,232679478.0
2024,3,232679478.0
2024,4,232679478.0
2024,5,232679478.0
2024,6,232679478.0
2024,7,232679478.0
2024,8,232679478.0
2024,9,232679478.0
2024,10,232679478.0
2024,11,232679478.0
2024,12,232679478.0
2024,13,232679478.0
2024,14,232679478.0
2024,15,232679478.0
2024,16,232679478.0
2024,17,232679478.0
2024,18,232679478.0
2024,19,232679478.0
2024,20,232679478.0
2024,21,232679478.0
2024,22,232679478.0
2024,23,232679478.0
2024,24,232679478.0
2024,25,232679478.0
2024,26,232679478.0
2024,27,232679478.0
2024,28,232679478.0
2024,29,232679478.0
2024,30,232679478.0
2024,31,232679478.0
2024,32,232679478.0
2024,33,232679478.0
2024,34,232679478.0
2024,35,232679478.0
2024,36,232679478.0
2024,37,232679478.0
2024,38,232679478.0
2024,39,232679478.0
2024,40,232679478.0
2024,41,232679478.0
2024,42,232679478.0
2024,43,232679478.0
2024,44,232679478.0
2024,45,232679478.0
2024,46,232679478.0
2024,47,232679478.0
2024,48,232679478.0
2024,49,232679478.0
2024,50,232679478.0
2024,51,232679478.0
2024,52,232679478.0
2023,1,227882945.0
2023,2,227882945.0
2023,3,227882945.0
2023,4,227882945.0
2023,5,227882945.0
2023,6,227882945.0
2023,7,227882945.0
2023,8,227882945.0
2023,9,227882945.0
2023,10,227882945.0
2023,11,227882945.0
2023,12,227882945.0
2023,13,227882945.0
2023,14,227882945.0
2023,15,227882945.0
2023,16,227882945.0
2023,17,227882945.0
2023,18,227882945.0
2023,19,227882945.0
2023,20,227882945.0
2023,21,227882945.0
2023,22,227882945.0
2023,23,227882945.0
2023,24,227882945.0
2023,25,227882945.0
2023,26,227882945.0
2023,27,227882945.0
2023,28,227882945.0
2023,29,227882945.0
2023,30,227882945.0
2023,31,227882945.0
2023,32,227882945.0
2023,33,227882945.0
2023,34,227882945.0
2023,35,227882945.0
2023,36,227882945.0
2023,37,227882945.0
2023,38,227882945.0
2023,39,227882945.0
2023,40,227882945.0
2023,41,227882945.0
2023,42,227882945.0
2023,43,227882945.0
2023,44,227882945.0
2023,45,227882945.0
2023,46,227882945.0
2023,47,227882945.0
2023,48,227882945.0
2023,49,227882945.0
