year,urban_percent
2024,55.03
2023,54.283
2022,53.521
2021,52.746
2020,51.958
2019,51.157
2018,50.344
2017,49.519
2016,48.683
2015,47.838
2014,46.982
2013,46.118
2012,45.246
2011,44.366
2010,43.48
2009,42.588
2008,41.702
2007,40.819
2006,39.943
2005,39.074
2004,38.212
2003,37.356
2002,36.508
2001,35.669
2000,34.84
1999,34.304
1998,33.773
1997,33.247
1996,32.725
1995,32.205
1994,31.691
1993,31.182
1992,30.677
1991,30.176
1990,29.68
1989,28.842
1988,28.019
1987,27.209
1986,26.414
1985,25.635
1984,24.872
1983,24.122
1982,23.389
1981,22.671
1980,21.97
1979,21.518
1978,21.074
1977,20.636
1976,20.205
1975,19.78
1974,19.363
1973,18.952
1972,18.549
1971,18.151
1970,17.76
1969,17.513
1968,17.269
1967,17.027
1966,16.788
1965,16.551
1964,16.318
1963,16.087
1962,15.858
1961,15.633
1960,15.41
