time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
2015-01-01,27.3,0.0,73
2015-01-02,27.3,0.0,77
2015-01-03,27.5,0.0,78
2015-01-04,26.9,0.0,67
2015-01-05,26.0,0.0,52
2015-01-06,25.5,0.0,53
2015-01-07,25.6,0.0,56
2015-01-08,25.8,0.0,63
2015-01-09,26.2,0.0,60
2015-01-10,25.4,0.0,50
2015-01-11,25.2,0.0,53
2015-01-12,25.6,0.0,45
2015-01-13,24.9,0.0,48
2015-01-14,24.9,0.0,55
2015-01-15,25.2,0.0,69
2015-01-16,25.6,0.0,76
2015-01-17,26.1,0.0,77
2015-01-18,26.7,0.0,78
2015-01-19,26.9,0.0,80
2015-01-20,26.9,0.8,84
2015-01-21,27.3,0.0,80
2015-01-22,27.4,0.1,81
2015-01-23,27.9,0.0,81
2015-01-24,27.2,2.1,85
2015-01-25,26.8,2.0,86
2015-01-26,27.0,1.7,84
2015-01-27,27.6,0.4,84
2015-01-28,27.2,1.5,85
2015-01-29,27.3,0.8,84
2015-01-30,27.2,3.3,85
2015-01-31,27.4,0.6,83
2015-02-01,27.6,0.4,83
2015-02-02,27.7,0.9,84
2015-02-03,27.7,1.7,84
2015-02-04,27.9,1.4,82
2015-02-05,27.9,0.7,83
2015-02-06,27.9,1.2,84
2015-02-07,27.8,0.6,83
2015-02-08,28.1,0.7,82
2015-02-09,28.2,0.1,82
2015-02-10,28.2,0.8,81
2015-02-11,28.3,1.2,82
2015-02-12,27.4,4.0,84
2015-02-13,27.8,2.1,82
2015-02-14,27.7,1.8,83
2015-02-15,27.9,0.9,82
2015-02-16,28.2,0.1,80
2015-02-17,28.0,5.1,82
2015-02-18,26.8,12.3,85
2015-02-19,27.1,2.0,81
2015-02-20,27.2,4.1,83
2015-02-21,27.7,0.1,83
2015-02-22,26.7,7.6,85
2015-02-23,27.2,2.3,86
2015-02-24,27.6,0.0,83
2015-02-25,28.0,0.5,84
2015-02-26,27.8,2.0,84
2015-02-27,26.6,8.1,85
2015-02-28,27.6,0.4,81
2015-03-01,27.7,3.9,83
2015-03-02,27.9,0.9,83
2015-03-03,27.7,0.1,85
2015-03-04,27.3,4.1,85
2015-03-05,27.9,0.1,82
2015-03-06,28.2,0.2,83
2015-03-07,28.0,0.6,83
2015-03-08,27.7,2.0,84
2015-03-09,28.0,3.8,85
2015-03-10,28.0,1.0,85
2015-03-11,28.3,3.6,84
2015-03-12,28.4,0.5,84
2015-03-13,27.8,5.0,84
2015-03-14,27.9,3.4,83
2015-03-15,28.2,3.4,84
2015-03-16,27.9,7.0,88
2015-03-17,27.6,0.2,87
2015-03-18,27.8,0.7,84
2015-03-19,28.0,1.2,83
2015-03-20,28.2,0.2,83
2015-03-21,27.4,5.0,85
2015-03-22,28.1,0.0,81
2015-03-23,28.5,0.1,79
2015-03-24,28.1,3.1,83
2015-03-25,26.8,8.8,87
2015-03-26,27.3,7.3,87
2015-03-27,27.8,9.1,84
2015-03-28,28.1,0.7,83
2015-03-29,27.4,5.4,85
2015-03-30,26.9,7.4,86
2015-03-31,25.9,13.2,89
2015-04-01,26.0,0.6,89
2015-04-02,27.4,0.0,83
2015-04-03,27.7,1.1,83
2015-04-04,27.7,0.9,84
2015-04-05,27.4,2.3,85
2015-04-06,27.4,3.3,84
2015-04-07,27.3,5.8,85
2015-04-08,27.8,1.3,83
2015-04-09,27.8,0.6,84
2015-04-10,27.3,8.3,86
2015-04-11,27.4,4.5,85
2015-04-12,26.9,10.0,87
2015-04-13,27.7,1.5,83
2015-04-14,27.9,0.5,83
2015-04-15,28.0,1.0,84
2015-04-16,27.9,1.1,84
2015-04-17,28.2,1.6,83
2015-04-18,28.1,1.5,83
2015-04-19,28.2,1.6,82
2015-04-20,28.3,1.8,82
2015-04-21,28.4,1.2,80
2015-04-22,28.4,2.7,81
2015-04-23,28.4,0.4,81
2015-04-24,28.2,1.6,83
2015-04-25,27.9,2.2,84
2015-04-26,28.2,0.7,81
2015-04-27,28.2,0.0,79
2015-04-28,28.7,0.2,78
2015-04-29,28.4,1.9,81
2015-04-30,28.3,3.8,81
2015-05-01,28.8,0.3,78
2015-05-02,28.8,0.4,78
2015-05-03,28.2,6.9,81
2015-05-04,27.5,10.5,86
2015-05-05,26.8,13.7,87
2015-05-06,27.1,3.6,87
2015-05-07,28.3,0.3,82
2015-05-08,28.1,3.2,84
2015-05-09,27.8,2.4,85
2015-05-10,27.6,8.1,84
2015-05-11,28.0,1.9,82
2015-05-12,27.8,13.4,84
2015-05-13,27.7,10.0,87
2015-05-14,27.2,17.5,87
2015-05-15,27.3,8.5,87
2015-05-16,28.3,0.3,82
2015-05-17,27.8,12.9,86
2015-05-18,27.7,9.0,86
2015-05-19,27.6,2.9,84
2015-05-20,27.2,1.7,85
2015-05-21,28.2,0.8,81
2015-05-22,27.6,2.7,85
2015-05-23,26.4,20.3,88
2015-05-24,27.0,5.9,84
2015-05-25,27.8,0.0,81
2015-05-26,27.4,4.4,84
2015-05-27,26.7,6.0,88
2015-05-28,26.7,7.5,87
2015-05-29,26.5,8.1,87
2015-05-30,26.8,12.7,86
2015-05-31,25.9,23.7,90
2015-06-01,26.6,4.3,88
2015-06-02,26.1,5.9,88
2015-06-03,25.7,11.2,88
2015-06-04,25.9,14.5,88
2015-06-05,26.1,3.5,87
2015-06-06,26.0,4.5,87
2015-06-07,25.7,16.1,87
2015-06-08,25.5,11.7,90
2015-06-09,25.4,17.9,91
2015-06-10,25.8,4.0,87
2015-06-11,26.4,0.9,85
2015-06-12,26.3,1.3,87
2015-06-13,26.2,3.4,86
2015-06-14,25.4,7.1,89
2015-06-15,25.9,3.3,87
2015-06-16,26.1,3.4,84
2015-06-17,26.3,4.4,85
2015-06-18,26.0,6.3,87
2015-06-19,25.9,4.9,86
2015-06-20,25.6,16.5,87
2015-06-21,25.2,8.9,89
2015-06-22,25.4,6.8,87
2015-06-23,26.2,3.7,82
2015-06-24,26.0,3.2,83
2015-06-25,25.6,4.8,86
2015-06-26,25.5,10.6,86
2015-06-27,25.2,14.4,89
2015-06-28,24.5,69.7,94
2015-06-29,25.0,25.5,90
2015-06-30,25.3,8.8,88
2015-07-01,25.8,1.5,85
2015-07-02,25.3,11.8,89
2015-07-03,24.6,47.3,93
2015-07-04,25.3,5.3,89
2015-07-05,25.2,3.3,89
2015-07-06,25.8,0.9,87
2015-07-07,25.7,4.5,88
2015-07-08,25.8,5.4,88
2015-07-09,26.0,1.6,89
2015-07-10,25.7,4.6,89
2015-07-11,26.1,1.6,87
2015-07-12,25.7,6.2,89
2015-07-13,25.7,1.1,88
2015-07-14,25.7,3.7,87
2015-07-15,25.3,6.6,88
2015-07-16,24.8,10.7,89
2015-07-17,25.4,1.1,87
2015-07-18,25.6,0.4,88
2015-07-19,25.4,4.3,87
2015-07-20,25.0,5.4,87
2015-07-21,25.0,0.5,87
2015-07-22,25.2,0.1,83
2015-07-23,25.2,1.0,84
2015-07-24,24.9,2.5,85
2015-07-25,25.1,1.6,84
2015-07-26,25.1,0.2,83
2015-07-27,24.9,0.8,83
2015-07-28,24.8,0.4,81
2015-07-29,24.6,0.7,81
2015-07-30,24.6,5.0,85
2015-07-31,24.9,0.3,83
2015-08-01,24.8,5.4,86
2015-08-02,25.1,0.4,85
2015-08-03,24.7,4.1,89
2015-08-04,24.7,0.8,88
2015-08-05,25.1,0.6,86
2015-08-06,25.1,1.9,86
2015-08-07,25.1,2.0,87
2015-08-08,25.0,3.2,86
2015-08-09,24.9,5.9,88
2015-08-10,24.8,3.8,88
2015-08-11,25.0,0.4,86
2015-08-12,24.9,8.8,88
2015-08-13,24.9,0.4,88
2015-08-14,25.0,2.4,88
2015-08-15,24.9,2.5,88
2015-08-16,24.9,0.5,88
2015-08-17,24.9,2.1,89
2015-08-18,25.0,3.9,88
2015-08-19,25.1,0.7,87
2015-08-20,24.5,11.8,90
2015-08-21,24.5,18.9,90
2015-08-22,25.1,1.1,88
2015-08-23,25.1,2.8,87
2015-08-24,25.2,0.4,88
2015-08-25,24.8,4.9,89
2015-08-26,25.2,1.8,88
2015-08-27,25.2,3.4,87
2015-08-28,24.8,7.1,88
2015-08-29,24.9,1.8,87
2015-08-30,25.2,0.6,85
2015-08-31,25.0,1.6,86
2015-09-01,24.2,19.2,90
2015-09-02,24.8,1.1,87
2015-09-03,25.1,0.7,85
2015-09-04,25.3,0.6,86
2015-09-05,25.0,3.5,88
2015-09-06,25.1,3.8,88
2015-09-07,25.2,1.3,87
2015-09-08,24.5,3.3,90
2015-09-09,25.4,1.1,85
2015-09-10,25.3,0.2,86
2015-09-11,25.1,4.1,89
2015-09-12,25.4,0.6,88
2015-09-13,25.1,2.5,88
2015-09-14,25.5,1.0,86
2015-09-15,25.0,3.2,88
2015-09-16,25.2,2.1,87
2015-09-17,25.2,2.9,88
2015-09-18,25.4,2.0,88
2015-09-19,25.2,5.0,88
